date,sales
2017-10-01,27.571492139718888
2017-10-02,18.66247776891934
2017-10-03,20.186816908186817
2017-10-04,22.74647238699594
2017-10-05,19.821520166252995
2017-10-06,25.243148357900925
2017-10-07,28.45072989841417
2017-10-08,28.34816974516711
2017-10-09,18.154651611258544
2017-10-10,17.255500864888518
2017-10-11,18.822776650024217
2017-10-12,18.541159262552448
2017-10-13,20.992766204751824
2017-10-14,23.07848834165366
2017-10-15,24.327627245047214
2017-10-16,17.55506021718245
2017-10-17,18.10769856831768
2017-10-18,18.546705787450907
2017-10-19,19.194621281990017
2017-10-20,21.939528915260194
2017-10-21,21.520908114569558
2017-10-22,21.28547121409333
2017-10-23,15.962786945850912
2017-10-24,18.88895584488327
2017-10-25,16.33777204147856
2017-10-26,17.246980841120507
2017-10-27,19.81346578475733
2017-10-28,20.110635365529237
2017-10-29,20.29132361518754
2017-10-30,16.48824190308619
2017-10-31,15.95028700097383
2017-11-01,17.754113630567556
2017-11-02,18.146280027869906
2017-11-03,20.567353803269903
2017-11-04,19.35886502671422
2017-11-05,19.140366275603487
2017-11-06,17.312392548068722
2017-11-07,17.631832856445072
2017-11-08,17.75842713102523
2017-11-09,17.53829167982788
2017-11-10,19.552649137847315
2017-11-11,20.02426780926737
2017-11-12,20.631418346493213
2017-11-13,17.185615176623806
2017-11-14,17.32902299242733
2017-11-15,17.235272457409422
2017-11-16,17.715105340945275
2017-11-17,18.60943638870132
2017-11-18,19.882084180693553
2017-11-19,19.580795972828454
2017-11-20,16.25460566049121
2017-11-21,17.3400228261648
2017-11-22,16.08592301065077
2017-11-23,17.40273788218447
2017-11-24,19.63085876962972
2017-11-25,19.683464359232154
2017-11-26,19.532716413193075
2017-11-27,16.729037770720808
2017-11-28,17.189536933353438
2017-11-29,16.907775490790204
2017-11-30,15.644397341742813
2017-12-01,16.849404354765607
2017-12-02,16.876981169708415
2017-12-03,17.01725933953711
2017-12-04,16.83777432008573
2017-12-05,15.864740647507283
2017-12-06,15.809503291283466
2017-12-07,15.942481212157379
2017-12-08,16.90704911962122
2017-12-09,16.863860126776444
2017-12-10,16.998189438949442
2017-12-11,16.177107290159828
2017-12-12,15.797221905309122
2017-12-13,15.891834576902212
2017-12-14,15.901891557134402
2017-12-15,16.856798607600236
2017-12-16,16.76207845057426
2017-12-17,16.913096028738074
2017-12-18,15.659563602566262
2017-12-19,15.71586801943538
2017-12-20,15.51030860525145
2017-12-21,16.098732024971707
2017-12-22,16.630484708921905
2017-12-23,16.675314512488043
2017-12-24,16.844352232531556
2017-12-25,15.296210210816625
2017-12-26,15.32927799809108
2017-12-27,15.248075822537896
2017-12-28,15.350648112176714
2017-12-29,16.47395363600837
2017-12-30,16.544377987447614
2017-12-31,16.65261223773552
