date,sales
2017-10-01,27.10230854268452
2017-10-02,18.56976099063756
2017-10-03,20.658111163406964
2017-10-04,22.295594815067787
2017-10-05,21.12651469606735
2017-10-06,24.714594957929314
2017-10-07,27.19793479056625
2017-10-08,27.56524898636669
2017-10-09,18.37222079425465
2017-10-10,19.224442351100883
2017-10-11,20.336154962218963
2017-10-12,20.455110791088465
2017-10-13,22.521804530184266
2017-10-14,24.406522314428848
2017-10-15,25.41218663175738
2017-10-16,17.893874417662474
2017-10-17,19.43950928529949
2017-10-18,19.959368217788764
2017-10-19,20.52151540585666
2017-10-20,22.7206660108972
2017-10-21,23.34745156195395
2017-10-22,23.614328233383638
2017-10-23,16.834293001009378
2017-10-24,19.590159689812417
2017-10-25,18.648519958876427
2017-10-26,19.38473438448646
2017-10-27,21.54730406213833
2017-10-28,22.592910826589637
2017-10-29,23.13587257204084
2017-10-30,17.189297116817755
2017-10-31,18.290705775814907
2017-11-01,19.60623785154067
2017-11-02,20.16362986704121
2017-11-03,22.331095676142194
2017-11-04,22.69720270027913
2017-11-05,23.10746219477089
2017-11-06,18.206793345843217
2017-11-07,19.784734276865994
2017-11-08,20.29716241106116
2017-11-09,20.570013934972682
2017-11-10,22.54052146418642
2017-11-11,23.736872897752622
2017-11-12,24.533282362129384
2017-11-13,18.77986937117547
2017-11-14,20.208902804496617
2017-11-15,20.53368690703232
2017-11-16,21.063337272639885
2017-11-17,22.366171579132626
2017-11-18,23.84249196398296
2017-11-19,24.053158940292725
2017-11-20,18.21923954893711
2017-11-21,19.972596092932406
2017-11-22,19.56675676579382
2017-11-23,20.363406643591873
2017-11-24,22.183388297882367
2017-11-25,22.904469696423853
2017-11-26,23.052440282289588
2017-11-27,17.351657063245202
2017-11-28,18.67669177662284
2017-11-29,18.655584981979686
2017-11-30,18.077007068887788
2017-12-01,19.318152262094564
2017-12-02,19.978470303969374
2017-12-03,20.243520736304255
2017-12-04,15.846591873996237
2017-12-05,16.466766451686947
2017-12-06,16.590520807956338
2017-12-07,16.760556024886903
2017-12-08,17.949517422480735
2017-12-09,18.658506488309186
2017-12-10,19.018764310682165
2017-12-11,14.411194936818532
2017-12-12,15.447717157165027
2017-12-13,15.77327228971733
2017-12-14,16.01321926927865
2017-12-15,17.33058184830947
2017-12-16,18.146289217184048
2017-12-17,18.644109964099176
2017-12-18,13.943898222365087
2017-12-19,15.31428989368115
2017-12-20,15.595798437763225
2017-12-21,16.219591250650005
2017-12-22,17.40733789623267
2017-12-23,18.36109650083086
2017-12-24,18.921890605144583
2017-12-25,14.113757674851396
2017-12-26,15.497425972159592
2017-12-27,15.851955658209096
2017-12-28,16.230373563808826
2017-12-29,17.69921155617405
2017-12-30,18.64016271442515
2017-12-31,19.135565255318394
